Id;Sākuma laiks;Pabeigšanas laiks;E-pasts;Vārds;saprotamākā valoda;grūtākā tēma, uzdevums;lai es labāk mācītos/ labāk saprastu, kas skolotājiem jādara savādāk?
1;23.04.2025 19:42;23.04.2025 19:43;anonymous;;Python;Sveika, skola;
2;24.04.2025 10:01;24.04.2025 10:03;anonīmi;;HTML+CSS+JS;agri piecelties;viss
3;24.04.2025 10:21;24.04.2025 10:21;anonīmi;;HTML+CSS+JS;SQL;
4;24.04.2025 10:20;24.04.2025 10:21;anonīmi;;Scratch;datubāzes;
5;24.04.2025 10:21;24.04.2025 10:21;anonīmi;;Scratch;Atcerēties visas funkcijas un atrast tas ;Nezinu 
6;24.04.2025 10:21;24.04.2025 10:21;anonīmi;;Scratch;python;nezinu
7;24.04.2025 10:20;24.04.2025 10:22;anonīmi;;Scratch;python;nezinu
8;24.04.2025 10:21;24.04.2025 10:22;anonīmi;;HTML+CSS+JS;python;nezinu
9;24.04.2025 10:21;24.04.2025 10:22;anonīmi;;Scratch;Python;Nezinu
10;24.04.2025 10:21;24.04.2025 10:22;anonīmi;;Scratch;python;labs jautājums
11;24.04.2025 10:20;24.04.2025 10:22;anonīmi;;Scratch;Python;Nezinu.
12;24.04.2025 10:20;24.04.2025 10:22;anonīmi;;Python;Dddddddddddddddddddddddddddddddddddddddddddddddddd;Viss jāturpina kā ir
13;24.04.2025 10:21;24.04.2025 10:22;anonīmi;;Scratch;SQlite;Jāpalīdz inviduali cilvēkiem kas mazāk saprot vai arī neko nesaprot 
14;24.04.2025 10:21;24.04.2025 10:22;anonīmi;;Scratch;Loops;Visu detalizētāk paskaidrot 
15;24.04.2025 10:20;24.04.2025 10:22;anonīmi;;Scratch;python;Nav ieteikumu
16;24.04.2025 10:20;24.04.2025 10:22;anonīmi;;Python;Visas līdzīgas;Jāstāsta un jāskaidro ar lielāku interesi, savādāk liekas garlaicīgi.
17;24.04.2025 10:21;24.04.2025 10:22;anonīmi;;HTML+CSS+JS;pythons pats pa sevi;
18;24.04.2025 10:20;24.04.2025 10:22;anonīmi;;HTML+CSS+JS;python;
19;24.04.2025 10:21;24.04.2025 10:22;anonīmi;;HTML+CSS+JS;C# vispārējā apguve;Vairak grupu darbu un lielakus projektus. Lai ir intresanti. Piem. Kadu spelu taisiana un katrs atbild pa savu. Piem. Vizualais, back end code.
20;24.04.2025 10:21;24.04.2025 10:23;anonīmi;;Python;Rekursija;Varbūt nedaudz nepietiek motivācijas
21;24.04.2025 10:20;24.04.2025 10:23;anonīmi;;Scratch;nav īsti;Jāpievērš nedaudz vairāk uzmanību skolēniem kas neizprot tik labi tēmas
22;24.04.2025 10:21;24.04.2025 10:23;anonīmi;;HTML+CSS+JS;python;
23;24.04.2025 10:21;24.04.2025 10:23;anonīmi;;Scratch;Pythone;
24;24.04.2025 10:20;24.04.2025 10:23;anonīmi;;Scratch;Python;Nav ne jausmas
25;24.04.2025 10:21;24.04.2025 10:24;anonīmi;;Scratch;Python.;Jāpaskaidro abām pusēm.
26;24.04.2025 10:25;24.04.2025 10:26;anonīmi;;Java;Shop;Melnais skolotājs
